method,config,average_prompt_time_sec,speedup_vs_baseline_total,speedup_vs_baseline_avg_prompt,avg_psnr,avg_ssim,avg_lpips,available_dim_count,quality_dim_count,semantic_dim_count,quality_score_all_available_4to1,semantic_score_all_available_4to1,total_score_all_available_4to1,quality_score_8dim_4to1,semantic_score_8dim_4to1,total_score_8dim_4to1,subject_consistency,background_consistency,temporal_flickering,motion_smoothness,aesthetic_quality,imaging_quality,dynamic_degree,object_class,multiple_objects,human_action,color,spatial_relationship,scene,appearance_style,temporal_style,overall_consistency,eval_dir,generation_dir,num_prompts,total_elapsed_sec
Taylorseer,N10O1I4,42.193488,2.002954,2.002954,25.934850,0.878289,0.066437,8,6,2,0.825996,0.286297,0.718056,0.825996,0.286297,0.718056,0.958306,0.987226,,0.977946,0.609738,0.691453,0.750000,,,,,,0.000000,,,0.208424,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Taylorseer/20260505_212843/N10O1I4/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Taylorseer/20260505_212843/N10O1I4/generated,30,1265.804636
Taylorseer,N10O1I5,40.110207,2.106986,2.106986,24.258663,0.844485,0.088360,8,6,2,0.827058,0.292071,0.720061,0.827058,0.292071,0.720061,0.959961,0.989061,,0.977840,0.607825,0.695150,0.750000,,,,,,0.000000,,,0.212628,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Taylorseer/20260505_212843/N10O1I5/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Taylorseer/20260505_212843/N10O1I5/generated,30,1203.306212
Taylorseer,N10O1I6,37.034839,2.281950,2.281950,22.583954,0.795824,0.117813,8,6,2,0.827032,0.294859,0.720598,0.827032,0.294859,0.720598,0.960386,0.987951,,0.978189,0.606493,0.696144,0.750000,,,,,,0.000000,,,0.214657,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Taylorseer/20260505_212843/N10O1I6/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Taylorseer/20260505_212843/N10O1I6/generated,30,1111.045164
Taylorseer,N10O1I7,35.348305,2.390826,2.390826,21.487572,0.763527,0.139307,8,6,2,0.827124,0.292925,0.720284,0.827124,0.292925,0.720284,0.962775,0.988243,,0.977401,0.606954,0.695698,0.750000,,,,,,0.000000,,,0.213249,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Taylorseer/20260505_212843/N10O1I7/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Taylorseer/20260505_212843/N10O1I7/generated,30,1060.449142
Taylorseer,N10O1I8,35.225636,2.399151,2.399151,20.773843,0.752205,0.157003,8,6,2,0.830052,0.289415,0.721924,0.830052,0.289415,0.721924,0.964028,0.990337,,0.977563,0.615352,0.698542,0.750000,,,,,,0.000000,,,0.210694,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Taylorseer/20260505_212843/N10O1I8/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Taylorseer/20260505_212843/N10O1I8/generated,30,1056.769074
Teacache,r0.2,40.337594,2.095108,2.095108,25.082329,0.850545,0.092021,8,6,2,0.822233,0.288767,0.715540,0.822233,0.288767,0.715540,0.960999,0.982782,,0.977398,0.606799,0.678438,0.750000,,,,,,0.000000,,,0.210223,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Teacache/20260505_212826/r0.2/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Teacache/20260505_212826/r0.2/generated,30,1210.127830
Teacache,r0.4,36.204828,2.334264,2.334264,22.985038,0.776275,0.148539,8,6,2,0.813842,0.283142,0.707702,0.813842,0.283142,0.707702,0.957938,0.978144,,0.977073,0.579824,0.670242,0.750000,,,,,,0.000000,,,0.206128,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Teacache/20260505_212826/r0.4/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Teacache/20260505_212826/r0.4/generated,30,1086.144834
Teacache,r0.6,33.371433,2.532454,2.532454,21.845527,0.718262,0.196820,8,6,2,0.811695,0.280499,0.705456,0.811695,0.280499,0.705456,0.957575,0.982275,,0.976686,0.567628,0.666788,0.750000,,,,,,0.000000,,,0.204203,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Teacache/20260505_212826/r0.6/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Teacache/20260505_212826/r0.6/generated,30,1001.142978
Teacache,r0.8,31.802013,2.657430,2.657430,20.905030,0.662094,0.239882,8,6,2,0.778758,0.276262,0.678259,0.778758,0.276262,0.678259,0.948811,0.979507,,0.976024,0.542260,0.652288,0.500000,,,,,,0.000000,,,0.201118,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Teacache/20260505_212826/r0.8/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Teacache/20260505_212826/r0.8/generated,30,954.060377
Teacache,r0.9,31.831659,2.654955,2.654955,20.719942,0.654566,0.246916,8,6,2,0.774898,0.273161,0.674551,0.774898,0.273161,0.674551,0.947432,0.976204,,0.975859,0.533804,0.646168,0.500000,,,,,,0.000000,,,0.198861,/home/yc27979/lyb/cache-Q/Wan2.1/eval_outputs/Teacache/20260505_212826/r0.9/vbench_score,/data/zhenningli/lyb/icml-arxiv/Wan2.1/Teacache/20260505_212826/r0.9/generated,30,954.949760
