method,fid,avg_ssim,avg_lpips,avg_psnr,avg_time_sec,speedup_vs_baseline50,clipscore
results/dmd_gate_sweep/50steps/H2_S2_G0.10,20.354060519058862,0.9321837052029471,0.05121190474863397,28.864670472109072,20.23001532714845,1.8901594285,0.27578857421875
results/dmd_gate_sweep/50steps/H2_S2_G0.20,30.095117155278672,0.8936742843390405,0.08554469121736474,25.71960132634654,16.85409812499999,2.2687629991,0.276121826171875
results/dmd_gate_sweep/50steps/H2_S2_G0.3,31.300524063482897,0.8875394898183273,0.09048550067702309,25.386237478576515,15.86434963378907,2.4103070779,0.276607666015625
results/dmd_gate_sweep/50steps/H2_S2_G0.4,31.346027946330082,0.8834692777227033,0.09297598364995792,25.34012738191946,15.62986884765626,2.4464667350,0.2764190673828125
results/dmd_gate_sweep/50steps/H2_S2_G0.5,31.346027946330082,0.8834692777227033,0.09297598364995792,25.34012738191946,15.16985385742187,2.5206540925,0.2764190673828125
results/dmd_gate_sweep/50steps/H2_S3_G0.10,26.208501344356307,0.9126602802360702,0.06838318244321272,27.294513416800356,17.98435725585939,2.1261785264,0.2756048583984375
results/dmd_gate_sweep/50steps/H2_S3_G0.20,37.839128814125274,0.8651751248768614,0.11255037759896368,24.211691296849768,13.887455712890617,2.7534168245,0.2759808349609375
results/dmd_gate_sweep/50steps/H2_S3_G0.3,39.8371131460803,0.8592385795896224,0.11939881710335612,23.994594647638277,12.753590546875003,2.9982109013,0.27552215576171873
results/dmd_gate_sweep/50steps/H2_S3_G0.4,39.84527247573817,0.8594720211127514,0.11940869510173797,23.980455630997948,12.716506713867187,3.0069542736,0.2754275512695312
results/dmd_gate_sweep/50steps/H2_S3_G0.5,39.87778365781725,0.8594360104226111,0.11947404149919748,23.980596673067577,12.63330807128906,3.0267570452,0.27543121337890625
results/dmd_gate_sweep/50steps/H2_S4_G0.10,32.06621952583629,0.8924061502005368,0.08861879385774955,26.04382181923058,16.099780791015636,2.3750605493,0.2752764892578125
results/dmd_gate_sweep/50steps/H2_S4_G0.20,43.679542610959345,0.848459645668726,0.13206504101399333,23.393806718427133,12.439675092773436,3.0738708145,0.2756927490234375
results/dmd_gate_sweep/50steps/H2_S4_G0.3,45.61203912666252,0.8323337080176575,0.14715399580542,23.024883648327986,10.902058266601573,3.5074068835,0.27545166015625
results/dmd_gate_sweep/50steps/H2_S4_G0.4,46.15692054923369,0.827549873865542,0.15200867888052016,22.949946611306817,10.593477988281249,3.6095750849,0.275765380859375
results/dmd_gate_sweep/50steps/H2_S4_G0.5,46.19056613803667,0.8273269761286951,0.15225629963446408,22.9448456213164,10.407585947265627,3.6740464506,0.275716552734375
results/dmd_gate_sweep/50steps/H2_S5_G0.10,37.33653954012982,0.876345352083156,0.10553051239578054,25.25434957727568,15.099932226562496,2.5323262141,0.2743206787109375
results/dmd_gate_sweep/50steps/H2_S5_G0.20,51.13785726394099,0.8233383220130739,0.15867262551560998,22.609415519447953,11.851520087890622,3.2264177022,0.2752044677734375
results/dmd_gate_sweep/50steps/H2_S5_G0.3,52.420419134871054,0.8284552149723641,0.15658233992755413,22.54576650763779,11.11279071777343,3.4408957372,0.274505615234375
results/dmd_gate_sweep/50steps/H2_S5_G0.4,52.888477007838446,0.8262704111921993,0.1591724876873195,22.52875845227996,10.424476323242196,3.6680935352,0.275006103515625
results/dmd_gate_sweep/50steps/H2_S5_G0.5,53.26829149534035,0.8218481604601269,0.16416833428665994,22.504295508903212,10.032421833496095,3.8114380399,0.27553253173828124
