model,metric,step,mean,p10,p90,count
FLUX.1-dev,cosine_mean,36,0.9993548271667898,0.9988558292388916,0.999788224697113,201
FLUX.1-dev,cosine_mean,37,0.9992625654040285,0.9986841678619385,0.9997259974479675,201
FLUX.1-dev,cosine_mean,38,0.9993249539712176,0.9988216757774353,0.9997424483299255,201
FLUX.1-dev,cosine_mean,39,0.9991737699034202,0.998575747013092,0.9996597170829773,201
FLUX.1-dev,cosine_mean,40,0.9989911673673942,0.998320460319519,0.9995549917221069,201
FLUX.1-dev,cosine_mean,41,0.998821289385136,0.9981884956359863,0.9994240403175354,201
FLUX.1-dev,cosine_mean,42,0.9986675787920976,0.99797523021698,0.9993111491203308,201
FLUX.1-dev,cosine_mean,43,0.9983119656197468,0.9975261688232422,0.9990612864494324,201
FLUX.1-dev,cosine_mean,44,0.997785691301621,0.9968684315681458,0.9986873269081116,201
FLUX.1-dev,cosine_mean,45,0.9966446205751219,0.9953650832176208,0.9979240298271179,201
FLUX.1-dev,cosine_mean,46,0.9947038794038308,0.9925143122673035,0.9967539310455322,201
FLUX.1-dev,cosine_mean,47,0.9914289632839943,0.9878627061843872,0.9946891665458679,201
FLUX.1-dev,cosine_mean,48,0.9839317291530211,0.9783875942230225,0.9892597794532776,201
FLUX.1-dev,cosine_mean,49,0.9698496256301652,0.9606106281280518,0.9784281849861145,201
Hi-Dream,cosine_mean,1,0.9365305250883103,0.8927284777164459,0.9795829653739929,200
Hi-Dream,cosine_mean,2,0.9025228002667427,0.8263055860996247,0.9724689364433289,200
Hi-Dream,cosine_mean,3,0.9206189399957657,0.8407910466194153,0.9778049111366272,200
Hi-Dream,cosine_mean,4,0.9380393540859222,0.850379878282547,0.9893098711967467,200
Hi-Dream,cosine_mean,5,0.9660334238409995,0.9219027876853944,0.9942585706710816,200
Hi-Dream,cosine_mean,6,0.9815803420543671,0.9571532905101776,0.9973726034164428,200
Hi-Dream,cosine_mean,7,0.9892558574676513,0.975172084569931,0.9983846783638001,200
Hi-Dream,cosine_mean,8,0.993987110555172,0.9856683850288391,0.9991341292858124,200
Hi-Dream,cosine_mean,9,0.9959907811880112,0.990134459733963,0.9993762791156768,200
Hi-Dream,cosine_mean,10,0.9974534982442855,0.9938607931137085,0.9995968222618102,200
Hi-Dream,cosine_mean,11,0.9980105778574944,0.9958193123340606,0.9996192693710326,200
Hi-Dream,cosine_mean,12,0.9984828615188599,0.9967583537101745,0.9996394753456116,200
Hi-Dream,cosine_mean,13,0.9989151951670646,0.9979364037513733,0.9997584819793701,200
Hi-Dream,cosine_mean,14,0.9991154885292053,0.9983993530273437,0.9998079419136048,200
Hi-Dream,cosine_mean,15,0.999200989305973,0.9985124886035919,0.999791830778122,200
Hi-Dream,cosine_mean,16,0.9993711644411087,0.9988372564315796,0.9998323738574981,200
Hi-Dream,cosine_mean,17,0.9994303202629089,0.9989491939544678,0.9998399496078492,200
Hi-Dream,cosine_mean,18,0.9995017689466477,0.9990055561065674,0.9998573184013367,200
